2.48701 (2.32968, 2.64433)	0.397943 (0.373049, 0.422837)
2.51384 (2.34581, 2.68188)	0.393781 (0.367956, 0.419606)
1.35335 (1.32627, 1.38044)	0.729936 (0.715198, 0.744674)
1.01934 (1.01474, 1.02394)	0.968926 (0.964561, 0.973291)
1.00097 (0.99966, 1.00229)	0.986694 (0.985398, 0.987989)
1.00032 (0.999773, 1.00088)	0.987334 (0.98679, 0.987878)
1.00016 (0.999712, 1.00061)	0.987494 (0.98705, 0.987939)
1.00016 (0.999712, 1.00061)	0.987494 (0.98705, 0.987939)
2.40583 (2.32797, 2.48369)	0.410749 (0.397448, 0.42405)
2.40652 (2.3365, 2.47653)	0.410589 (0.398624, 0.422554)
1.42244 (1.40397, 1.4409)	0.694399 (0.685495, 0.703303)
1.06124 (1.05622, 1.06627)	0.930668 (0.926258, 0.935078)
1.01547 (1.01348, 1.01747)	0.972607 (0.970696, 0.974519)
1.00768 (1.00533, 1.01003)	0.980131 (0.977843, 0.982418)
1.00326 (1.00067, 1.00584)	0.984453 (0.98192, 0.986986)
1.00179 (0.999599, 1.00398)	0.985894 (0.983739, 0.988048)
2.47797 (2.3241, 2.63185)	0.399384 (0.374227, 0.42454)
2.48521 (2.35967, 2.61076)	0.397943 (0.377684, 0.418202)
1.36011 (1.32472, 1.39551)	0.726414 (0.707332, 0.745496)
1.03804 (1.03201, 1.04407)	0.951478 (0.945972, 0.956983)
1.00999 (1.00765, 1.01233)	0.97789 (0.975624, 0.980156)
1.00407 (1.00062, 1.00753)	0.983652 (0.980283, 0.987022)
1.00097 (1.00013, 1.00182)	0.986694 (0.985863, 0.987525)
1.00049 (0.999586, 1.00139)	0.987174 (0.986285, 0.988063)
2.18663 (2.10105, 2.27221)	0.452048 (0.433843, 0.470253)
2.18788 (2.10944, 2.26633)	0.451728 (0.435182, 0.468274)
1.36427 (1.33089, 1.39765)	0.724173 (0.706077, 0.74227)
1.0598 (1.05257, 1.06702)	0.931949 (0.925563, 0.938334)
1.01198 (1.00789, 1.01608)	0.975969 (0.972019, 0.979919)
1.00277 (1.00043, 1.0051)	0.984933 (0.982646, 0.987221)
1.00032 (0.999773, 1.00088)	0.987334 (0.98679, 0.987878)
1.00032 (0.999773, 1.00088)	0.987334 (0.98679, 0.987878)
2.41063 (2.28687, 2.53439)	0.410269 (0.389242, 0.431295)
2.42675 (2.37976, 2.47373)	0.407067 (0.399069, 0.415066)
1.34642 (1.32721, 1.36564)	0.733617 (0.723135, 0.7441)
1.03212 (1.02844, 1.03581)	0.95692 (0.953507, 0.960333)
1.00309 (1.00159, 1.00459)	0.984613 (0.983139, 0.986087)
1.00114 (1.00023, 1.00204)	0.986534 (0.985645, 0.987423)
1.00049 (0.999586, 1.00139)	0.987174 (0.986285, 0.988063)
1 (1, 1)	0.987654 (0.987654, 0.987654)
