INDEPENDENT
1.06845 (1.05784, 1.07907)	0.924425 (0.915211, 0.93364)
1.52358 (1.48557, 1.56159)	0.648458 (0.63205, 0.664867)
2.48701 (2.32968, 2.64433)	0.397943 (0.373049, 0.422837)
4.46289 (4.00109, 4.92469)	0.222502 (0.200184, 0.24482)
11.2514 (9.89525, 12.6076)	0.0885207 (0.0766678, 0.100374)
1.06514 (1.05407, 1.07621)	0.927307 (0.917658, 0.936956)
1.52631 (1.485, 1.56761)	0.647338 (0.629516, 0.66516)
2.51384 (2.34581, 2.68188)	0.393781 (0.367956, 0.419606)
4.60825 (4.35979, 4.85671)	0.214659 (0.202665, 0.226652)
11.4995 (10.4608, 12.5381)	0.0862797 (0.0778954, 0.0946639)
1.01698 (1.01579, 1.01816)	0.971167 (0.970034, 0.9723)
1.14015 (1.12604, 1.15426)	0.866319 (0.855557, 0.87708)
1.35335 (1.32627, 1.38044)	0.729936 (0.715198, 0.744674)
1.6962 (1.67014, 1.72225)	0.582348 (0.573361, 0.591335)
2.48553 (2.43075, 2.54031)	0.397463 (0.388615, 0.406311)
1.0013 (0.99977, 1.00283)	0.986374 (0.984867, 0.987881)
1.00702 (1.00399, 1.01005)	0.980771 (0.977824, 0.983719)
1.01934 (1.01474, 1.02394)	0.968926 (0.964561, 0.973291)
1.03595 (1.02994, 1.04195)	0.953399 (0.947893, 0.958904)
1.069 (1.0597, 1.07829)	0.923945 (0.915946, 0.931944)
1.00016 (0.999712, 1.00061)	0.987494 (0.98705, 0.987939)
1.00049 (0.999935, 1.00104)	0.987174 (0.98663, 0.987718)
1.00097 (0.99966, 1.00229)	0.986694 (0.985398, 0.987989)
1.00211 (1.00002, 1.00421)	0.985573 (0.983513, 0.987634)
1.00424 (1.00124, 1.00724)	0.983492 (0.980562, 0.986423)
1 (1, 1)	0.987654 (0.987654, 0.987654)
1 (1, 1)	0.987654 (0.987654, 0.987654)
1.00032 (0.999773, 1.00088)	0.987334 (0.98679, 0.987878)
1.00065 (0.999806, 1.00149)	0.987014 (0.986183, 0.987845)
1.00114 (0.999987, 1.00229)	0.986534 (0.985401, 0.987667)
1 (1, 1)	0.987654 (0.987654, 0.987654)
1 (1, 1)	0.987654 (0.987654, 0.987654)
1.00016 (0.999712, 1.00061)	0.987494 (0.98705, 0.987939)
1.00016 (0.999712, 1.00061)	0.987494 (0.98705, 0.987939)
1.00032 (0.999423, 1.00123)	0.987334 (0.986445, 0.988223)
1 (1, 1)	0.987654 (0.987654, 0.987654)
1 (1, 1)	0.987654 (0.987654, 0.987654)
1.00016 (0.999712, 1.00061)	0.987494 (0.98705, 0.987939)
1.00016 (0.999712, 1.00061)	0.987494 (0.98705, 0.987939)
1.00016 (0.999712, 1.00061)	0.987494 (0.98705, 0.987939)
